	moduleColor	GS.Subtypes_num	p.GS.Subtypes_num	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.grey	p.MM.grey	MM.turquoise	p.MM.turquoise
CENPE|1062	blue	0.68573804517426	8.0067506005419e-30	0.909900091041487	1.64182520344932e-79	-0.641187196422007	3.93851793646714e-25	0.0857111536076891	0.221729208998425	-0.744728669006396	1.65982760389523e-37
CDCA3|83461	blue	0.67315503691053	2.04944718329281e-28	0.933702534842225	1.68898812020032e-92	-0.524350520265812	7.085343854855e-16	0.107469637915442	0.125086842375189	-0.808029381032015	1.56241437068354e-48
FAM72D|728833	blue	0.671972299435225	2.75701071730689e-28	0.860109490220422	2.93783707316686e-61	-0.609966007000826	2.80311785004436e-22	0.102530880321808	0.143494638438753	-0.673721398577841	1.77724659325093e-28
MELK|9833	blue	0.671790424930924	2.88530714422357e-28	0.944643199067636	3.32079382149399e-100	-0.615191832388	9.82370948582547e-23	0.144586489252114	0.0386037298242178	-0.778765950576463	5.55162319360792e-43
CENPA|1058	blue	0.668290676070934	6.8800117712685e-28	0.915057573683177	5.41262114643794e-82	-0.589737257907013	1.3596781671618e-20	0.0789549375043328	0.260458603801289	-0.739612499908321	9.29586949371993e-37
EZH2|2146	blue	0.667887021111384	7.59955513839652e-28	0.909619855983667	2.21759110471705e-79	-0.458567199940928	4.69825919909517e-12	0.0968708531883442	0.167048373093247	-0.825856549045056	2.09272012242077e-52
FAM83D|81610	blue	0.664231853225314	1.85740455413846e-27	0.945012432746757	1.71567668693535e-100	-0.594669733032896	5.41114655399534e-21	0.138667826468082	0.0473818664136983	-0.782662278028929	1.13626005325685e-43
FOXM1|2305	blue	0.66236061275814	2.92075323393153e-27	0.955100658532081	3.33754705763384e-109	-0.563260525016742	1.47660115425383e-18	0.13451657369013	0.0544855624542223	-0.809887238697361	6.44764629705376e-49
RAD54L|8438	blue	0.658421800239357	7.49409333364831e-27	0.930124693359745	2.91446870521992e-90	-0.486704491729483	1.37060959714254e-13	0.125111651243513	0.0738724845909347	-0.791661632682714	2.56110660586052e-45
KIF14|9928	blue	0.656843233081452	1.08894582854757e-26	0.934077463892007	9.68286893271816e-93	-0.585095714883303	3.19004627980542e-20	0.163803840977886	0.0189330238851818	-0.775923276125939	1.73091246719036e-42
CEP55|55165	blue	0.656524019304365	1.17410064961932e-26	0.963826464868194	1.54932931829466e-118	-0.612381927188688	1.73051080017236e-22	0.167474734377842	0.016386669867634	-0.794194121152693	8.51550275349069e-46
CDC25A|993	blue	0.655331817492483	1.55410472425309e-26	0.839759151135973	9.55748063588322e-56	-0.39476801527866	4.70466360819045e-09	0.0507653404612426	0.469759243916205	-0.704352496593325	4.83732565721371e-32
KIF2C|11004	blue	0.655318498552326	1.55896946387056e-26	0.956338047300099	2.08388775052858e-110	-0.534293055781771	1.57710704614204e-16	0.154535364358648	0.0269399080481515	-0.811460519609586	3.02386526186933e-49
ZNF695|57116	blue	0.652329701859541	3.13113379349932e-26	0.781847263404274	1.58766539339676e-43	-0.387490897965555	9.47139048558885e-09	0.123067212446267	0.0787528617448441	-0.682466627737956	1.88958181538434e-29
RTKN2|219790	blue	0.650953269878059	4.30561430074473e-26	0.827084096828825	1.09111920520834e-52	-0.364408205467982	7.80960603842178e-08	0.198038559184283	0.00442182193469481	-0.737403398597517	1.93176200821865e-36
FANCA|2175	blue	0.648872948443544	6.94635005854552e-26	0.829099581734506	3.70348566390694e-53	-0.325429811056477	1.92447845921381e-06	0.0347395241393086	0.620951582684202	-0.718815131994835	6.87896817091946e-34
